minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.9889,0.9866,0.7023,0.2499,0.95,0.4537,0.1038,0.4565,0.915,351.0
0.5556,0.7577,0.5686,0.7899,0.7173,0.234,0.4881,0.6463,0.5457,3621.0
0.9599,0.9908,0.6931,0.9411,0.9577,0.5339,0.6851,0.986,0.9898,1994.0
0.6963,0.2719,0.4591,0.6832,0.1824,0.8555,0.3031,0.4712,0.7771,364.0
0.7211,0.5775,0.1901,0.8497,0.4616,0.5645,0.1493,0.3365,0.7692,398.0
0.1369,0.2907,0.4868,0.6705,0.3572,0.2038,0.2381,0.2302,0.306,797.0
0.6453,0.8488,0.7666,0.2346,0.7504,0.0872,0.1999,0.2617,0.2677,2590.0
0.1923,0.0493,0.4995,0.5934,0.6883,0.5033,0.3104,0.5323,0.5731,617.0
0.8427,0.8472,0.554,0.7058,0.9,0.9341,0.4591,0.9487,0.9924,215.0
0.6692,0.0,0.0306,0.9051,0.1977,0.3473,0.6361,0.2907,0.5683,122.0
0.5568,0.9019,0.2767,0.6418,0.9051,0.5645,0.1675,0.51,0.6826,500.0
0.9376,0.5664,0.696,0.7424,0.6208,0.9777,0.858,0.992,0.9975,230.0
0.7039,0.4909,0.7673,0.767,0.6106,0.5801,0.9599,0.9685,0.8714,316.0
0.0844,0.1563,0.2136,0.4667,0.6374,0.6934,0.1197,0.297,0.6507,329.0
0.1522,0.164,0.2467,0.8309,0.4728,0.0786,0.3136,0.2241,0.3706,487.0
0.4957,0.4651,0.0872,0.921,0.1983,0.313,0.1525,0.1391,0.6323,156.0
0.8153,0.5603,0.7599,0.7743,0.5288,0.5801,0.8784,0.9411,0.9236,399.0
0.545,0.4963,0.2821,0.6705,0.7491,0.6154,0.2534,0.5189,0.7778,405.0
0.5998,0.5527,0.8523,0.2869,0.6399,0.7182,0.7284,0.8555,0.7593,1390.0
0.4753,0.653,0.49,0.5387,0.8621,0.1754,0.1589,0.34,0.6606,1009.0
0.9153,0.3591,0.6444,0.4167,0.8835,0.9226,0.3356,0.8459,0.9217,923.0
0.6654,0.1827,0.2305,0.689,0.3642,0.774,0.2713,0.3926,0.7408,362.0
0.8637,0.5505,0.2862,0.7899,0.1152,0.9542,0.8873,0.7676,0.8641,178.0
0.9039,0.7262,0.2837,0.6068,0.2057,0.9701,0.0831,0.3066,0.9411,267.0
0.7303,0.1595,0.7354,0.9287,0.2194,0.313,0.8201,0.7577,0.8523,321.0
0.553,0.3585,0.8949,0.5642,0.5903,0.3473,0.7615,0.8297,0.4317,1529.0
0.2713,0.4171,0.2025,0.6558,0.6928,0.2496,0.4919,0.3731,0.652,329.0
0.1082,0.3559,0.2003,0.8227,0.944,0.3626,0.3543,0.5794,0.6673,244.0
0.5294,0.5903,0.8157,0.5963,0.6893,0.7475,0.5673,0.9115,0.8338,1896.0
0.2518,0.1095,0.3378,0.8637,0.4731,0.0462,0.1127,0.1837,0.2423,293.0
0.1974,0.0758,0.4849,0.5699,0.3849,0.1261,0.3563,0.219,0.4247,796.0
0.8497,0.9035,0.4164,0.7424,0.7574,0.7049,0.3547,0.7421,0.9752,377.0
0.5282,0.3375,0.1694,0.8889,0.2932,0.3473,0.8485,0.5062,0.6281,676.0
0.7485,0.8733,0.3534,0.6351,0.7348,0.8195,0.3072,0.674,0.8994,250.0
0.3833,0.6587,0.3559,0.7389,0.7577,0.4187,0.6552,0.7173,0.7619,580.0
0.1098,0.0551,0.1433,0.7488,0.723,0.4877,0.8602,0.7351,0.6377,291.0
0.6097,0.1812,0.3416,0.5775,0.6797,0.7835,0.9812,0.8972,0.858,371.0
0.9344,0.2881,0.8004,0.5435,0.5505,0.8424,0.9013,0.9615,0.9408,1410.0
0.5565,0.8268,0.369,0.6482,0.9042,0.5495,0.6415,0.8071,0.8013,419.0
0.8138,0.0831,0.0239,0.8902,0.1293,0.9134,0.4718,0.4416,0.8039,147.0
0.085,0.2066,0.5294,0.5435,0.4677,0.5193,0.7237,0.6355,0.7081,355.0
0.9309,0.0535,0.3604,0.5833,0.2276,0.9822,0.9764,0.8185,0.9163,183.0
0.7596,0.54,0.1175,0.964,0.8571,0.8424,0.9968,0.9809,0.944,232.0
0.6667,0.0694,0.475,0.6979,0.1786,0.5495,0.2703,0.3165,0.6692,244.0
0.3231,0.7249,0.127,0.5667,0.5266,0.4877,0.6584,0.4129,0.758,402.0
0.4432,0.4295,0.4177,0.6482,0.6925,0.3986,0.12,0.3626,0.3779,1104.0
0.3457,0.7198,0.3531,0.7988,0.7361,0.1907,0.0525,0.2974,0.5132,314.0
0.1605,0.1117,0.191,0.7619,0.4222,0.4734,0.1659,0.2506,0.4989,401.0
0.703,0.1716,0.8364,0.5963,0.5314,0.7182,0.6635,0.8924,0.8411,870.0
