county,fips,latitude,state,longitude,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
Dakota,31043,42.39113638,Nebraska,-96.56457734,209,-0.248162601,-0.238068146,-0.105472093,1.319056032,1.632447758,1.339971068,0.010915284,1.550254258,-0.798375446,-0.724718902,0.68188966,1.088769227,-0.113781493,-0.153279074,-0.150442917,-0.152661919
Dawes,31045,42.71972671,Nebraska,-103.1354616,96,-0.283884577,0.07539317,-0.14542551,-0.116356741,0.37336321,-0.126251969,0.386201315,0.321498252,-0.62582858,1.56754778,0.764655768,-0.77882599,-0.13653045,-0.167785346,-0.157897551,-0.151570485
Dawson,31047,40.86995623,Nebraska,-99.81958228,233,-0.23823795,-0.030740903,-0.135906601,1.032666077,1.633480076,0.981107707,-0.260700573,1.301041772,-0.844618006,-0.599465991,0.226502918,0.731387757,-0.110065328,-0.151256155,-0.145599297,-0.149779226
Deuel,31049,41.11156974,Nebraska,-102.3338046,,-0.305874429,-0.189452825,-0.146599978,-0.653121469,0.968322812,-0.529022504,-0.755898439,-1.730351215,-0.389784468,-1.132309869,-1.621362982,-1.440605049,-0.137024265,-0.171963834,-0.162968216,-0.157752863
Dixon,31051,42.49321521,Nebraska,-96.86776123,,-0.293950701,-0.179380565,-0.142257728,-0.129516134,1.074651625,-0.108619954,-0.63149423,-0.330953882,-0.567852833,-0.63787227,-1.094291786,-0.681862026,-0.134337578,-0.167647958,-0.160117544,-0.155562742
Dodge,31053,41.5779112,Nebraska,-96.65401561,474,-0.1990099,-0.164848843,-0.110450479,-0.105275147,1.290406205,0.948263758,-0.964966624,-0.134699049,-0.50746143,0.420895435,-0.211222438,-0.159295517,-0.115421962,-0.133182534,-0.129315148,-0.141649671
Douglas,31055,41.29534825,Nebraska,-96.15429404,5723,1.358960336,-0.220285896,0.770994233,0.67182166,1.316902382,1.629343547,-1.545865167,0.465833816,0.873603683,0.23889811,0.832877204,-0.034627563,0.150459613,0.195458898,0.287274017,0.367190908
Dundy,31057,40.1762067,Nebraska,-101.6879559,,-0.306209659,-0.056608688,-0.147940786,-0.825232482,-1.315854074,-1.460062032,-0.785617222,-1.730351215,-1.463025973,0.485597906,-1.663265488,-1.653233171,-0.136404904,-0.172622349,-0.163275147,-0.157433773
Fillmore,31059,40.52466839,Nebraska,-97.59650461,,-0.294359743,-0.15193315,-0.143555543,-1.002884292,-0.539206404,-0.582955726,-1.471913776,-1.312574173,-1.615902496,0.928481129,-1.552795244,-1.481122134,-0.13555956,-0.167671645,-0.158868798,-0.155370562
Franklin,31061,40.17633371,Nebraska,-98.95280714,,-0.302356053,-0.151809901,-0.146071711,-1.541726819,-1.355082179,-1.006815533,-1.02440419,-0.37837348,-1.584153872,0.391139218,-1.471414343,-1.537569013,-0.136831761,-0.170367292,-0.161467198,-0.15712556
Frontier,31063,40.5301011,Nebraska,-100.3941609,,-0.303823068,-0.041405542,-0.147559967,-1.597134791,-1.49857446,-0.81286337,0.413846694,-1.669778736,-1.270808764,1.079338227,-1.089789864,-1.534106014,-0.137626886,-0.171608521,-0.161769925,-0.157114682
Furnas,31065,40.17645143,Nebraska,-99.91231681,,-0.296900109,-0.112131714,-0.145291621,-1.120626232,-1.494445186,0.663039989,-1.312607275,-0.589857964,0.190318095,-0.155198758,-0.676305628,-0.783327889,-0.135082485,-0.168860762,-0.159810613,-0.156414859
Gage,31067,40.26189698,Nebraska,-96.68944972,297,-0.244837982,-0.075494808,-0.134814679,-1.240792271,-0.583940209,0.562779512,-1.367552467,-1.290768081,-0.62582858,0.475909835,-1.083210132,-1.212047132,-0.125499131,-0.148408908,-0.14378294,-0.147066957
Garden,31069,41.61941412,Nebraska,-102.3354654,,-0.30588058,0.160615226,-0.148413523,-0.824193582,-1.716737784,-1.144414394,-0.891015233,-0.986521171,-1.491668752,0.339238841,-1.570456631,-1.68405386,-0.137534819,-0.171944884,-0.162816853,-0.157357626
Garfield,31071,41.91436336,Nebraska,-98.99141162,,-0.305763711,-0.153477621,-0.147122077,-1.606831186,-1.716737784,-0.886848687,-0.070293019,-1.559709888,-1.546538656,0.062782829,-1.537557969,-1.536183814,-0.137794281,-0.171940147,-0.162783217,-0.157176325
Gosper,31073,40.51481994,Nebraska,-99.8307075,,-0.305736031,-0.184385199,-0.14664296,-1.712798932,-1.335468126,-1.727653787,0.046163143,-1.730351215,-1.644545275,-0.073888166,-1.671923031,-1.708294851,-0.137317206,-0.172063322,-0.162846285,-0.156846356
Grant,31075,41.91497765,Nebraska,-101.7405533,,-0.309826451,-0.096325241,-0.148579815,-1.607870086,-1.716737784,-1.727653787,0.643648914,-1.730351215,-1.463025973,1.229157317,-1.331162153,-1.470040538,-0.138129071,-0.173328239,-0.164553324,-0.158079206
Greeley,31077,41.56744324,Nebraska,-98.52122482,,-0.304290544,-0.153472294,-0.146654491,-1.493244844,-1.162382713,-0.893417477,-1.05826978,-0.691273601,-1.334651105,-1.011208987,-1.665343298,-1.588128795,-0.137400903,-0.171423757,-0.162202991,-0.157549806
Hall,31079,40.87259257,Nebraska,-98.50218839,701,-0.123887646,-0.15999146,-0.086814803,0.724805533,1.552271015,1.259762687,-1.043064822,1.313156268,-0.330428346,-0.513311364,0.295070655,0.582825112,-0.087684639,-0.115890604,-0.112623158,-0.127885266
Hamilton,31081,40.87303022,Nebraska,-98.02287138,97,-0.283773859,-0.16119827,-0.139683142,-1.320094931,-1.190943527,-1.039659482,-0.991229734,-1.65316457,-1.515825314,-0.344808138,-1.691662228,-1.702754053,-0.135643257,-0.16514655,-0.154563358,-0.152810586
Harlan,31083,40.17650545,Nebraska,-99.40466087,,-0.301159682,-0.157997494,-0.145560709,-0.898994345,-1.053989263,-1.503277755,1.130898733,-1.641050075,-1.546538656,-0.314013913,-1.511931643,-1.287194205,-0.136873609,-0.171092131,-0.160929018,-0.156621542
Hayes,31085,40.52478127,Nebraska,-101.0618662,,-0.308700817,-0.113812196,-0.148253198,-1.010502888,0.757041612,-1.727653787,-1.02440419,-1.730351215,-1.221460361,-1.729510215,-1.729409114,-1.665353666,-0.137710584,-0.173304551,-0.163968895,-0.158097336
Hitchcock,31087,40.17634435,Nebraska,-101.0422648,,-0.303001908,-0.114675783,-0.146797718,-1.720417529,-1.120745864,-0.966019891,0.32019797,-1.242310097,-1.515825314,-0.842705761,-1.581538286,-1.351259681,-0.136923828,-0.170921581,-0.161757311,-0.157248845
Holt,31089,42.45571904,Nebraska,-98.78383916,115,-0.279954083,0.356663114,-0.146654449,-1.053444066,0.235376628,0.400979847,-0.832959935,-1.291806466,-1.491668752,0.123333269,-1.347784635,-1.32805759,-0.134429645,-0.163137843,-0.153983133,-0.152843221
Hooker,31091,41.91605591,Nebraska,-101.1353064,,-0.30975879,-0.111570097,-0.148527438,-1.062101562,-1.716737784,-1.452456065,0.010915284,-1.471447133,-1.70597196,1.491427226,-1.357827384,-1.268494011,-0.137970046,-0.173266651,-0.164540711,-0.158042945
Howard,31093,41.22005269,Nebraska,-98.51711675,,-0.292240721,-0.153603322,-0.14282416,-1.388662297,-0.514774865,0.56381669,-0.568600991,-1.667701965,-1.270808764,-1.651313646,-1.627942714,-1.570467501,-0.136337946,-0.166454104,-0.158179255,-0.155113114
Jefferson,31095,40.17573911,Nebraska,-97.14273001,85,-0.289199048,-0.153373472,-0.141868254,-1.111968737,-0.338592496,0.805133285,-1.346472865,-1.685008388,0.086099788,-0.355880218,-1.151431568,-1.088764377,-0.134421275,-0.165028112,-0.157426644,-0.155200139
Johnson,31097,40.39263945,Nebraska,-96.26509291,66,-0.295925174,-0.207116324,-0.14139973,0.204663196,0.937697361,0.179715347,-0.655683937,-0.351721589,0.60788151,1.679998598,0.725869977,-0.286041271,-0.13392746,-0.166468317,-0.161088791,-0.156142906
Kearney,31099,40.50670931,Nebraska,-98.9480224,78,-0.291677904,-0.168303043,-0.141987307,-0.88929795,-1.481369151,0.104001401,-1.07589371,-0.856376873,-0.389784468,-0.921940338,-1.360944099,-1.606828988,-0.136923828,-0.168012746,-0.157687325,-0.154257372
Keith,31101,41.19884458,Nebraska,-101.6612934,134,-0.286895495,-0.01731648,-0.144797299,-0.585939303,-1.283852198,-0.302226392,1.027574126,-1.665279066,0.873603683,-1.089405556,-0.655527526,-1.193346939,-0.134019528,-0.165141812,-0.155341196,-0.1540942
Keya Paha,31103,42.87888315,Nebraska,-99.71240913,,-0.309552731,-0.097196775,-0.148513881,-1.688557945,-1.716737784,-1.387459618,-0.595209669,-1.278653585,-1.690442742,-1.729510215,-1.724907192,-1.722839445,-0.138037003,-0.173347189,-0.164418779,-0.158071954
Kimball,31105,41.1977747,Nebraska,-103.7149273,,-0.300396957,-0.047702905,-0.146873434,-0.397552199,0.223332912,0.519909516,-0.334306397,-1.502252565,-0.330428346,-0.44272685,-1.010486774,-0.386468234,-0.135726955,-0.169533489,-0.161151859,-0.156969641
Knox,31107,42.63682346,Nebraska,-97.8919046,102,-0.28551767,-0.004373239,-0.144751543,-0.171418413,0.04921518,-0.411130013,-0.858186344,0.125243419,0.190318095,0.465875762,-0.330350224,-0.745927503,-0.134404536,-0.164762811,-0.156228352,-0.153952785
Lancaster,31109,40.78417785,Nebraska,-96.68776207,2791,0.616084707,-0.079347076,0.051353999,0.111854843,1.038520475,1.641443949,-1.471913776,0.168509475,0.295916776,0.974845466,0.805519369,-0.619181749,-0.035449083,0.024041384,0.101202485,0.119797862
Lincoln,31111,41.0477472,Nebraska,-100.745303,433,-0.201784005,0.398652619,-0.141281182,-0.345607225,-0.230199046,1.222078577,-0.387178186,0.299346031,0.136483472,0.201529838,0.734873821,-0.516676986,-0.125047165,-0.141222098,-0.122394489,-0.137987382
Logan,31113,41.56652196,Nebraska,-100.482862,,-0.309263634,-0.153237152,-0.148234384,-1.557310311,-1.716737784,-1.727653787,-0.212321158,1.026908038,-1.644545275,-1.729510215,-1.588118018,-1.51990772,-0.137936567,-0.173238226,-0.164078212,-0.15809371
Loup,31115,41.91385441,Nebraska,-99.45439045,,-0.310149379,-0.153899929,-0.148512915,-1.706219236,-1.716737784,-1.571385734,0.733841966,-1.730351215,-1.669737118,-1.729510215,-1.707245805,-1.729419143,-0.138170919,-0.173475102,-0.164385143,-0.158108214
McPherson,31117,41.56815817,Nebraska,-101.060527,,-0.310509213,-0.07341508,-0.148768262,-1.63765187,-1.716737784,-1.727653787,-0.117635732,1.336346875,-1.67732918,-1.224000536,-1.431589647,-1.511942822,-0.137953306,-0.173754615,-0.164637415,-0.158275011
Madison,31119,41.91670244,Nebraska,-97.60077268,399,-0.203789233,-0.152660697,-0.114926292,0.185616706,1.373679903,1.318881796,-1.297056749,0.5970165,0.295916776,0.623306908,0.775737422,0.202241551,-0.119874665,-0.141094185,-0.129571624,-0.139423289
Merrick,31121,41.1690459,Nebraska,-98.03803016,90,-0.287848901,-0.176717146,-0.140120372,-0.841854874,-0.340657133,0.292076226,-0.568600991,-1.658702626,-0.022949831,0.495631979,-0.78435176,-1.093266276,-0.135593039,-0.164909674,-0.155706991,-0.154978951
Morrill,31123,41.7160135,Nebraska,-103.010649,,-0.296921637,0.082972077,-0.147151296,0.122936438,0.996883626,-1.296188012,-0.415860267,-0.721040648,-1.221460361,0.783160071,-1.260862906,-0.242061187,-0.134722586,-0.1689792,-0.160176407,-0.156150159
Nance,31125,41.39733056,Nebraska,-97.99221273,,-0.30072296,-0.188959256,-0.144499905,-1.668818855,-1.082550077,-0.826346676,-1.258698784,-1.65558747,0.242082154,0.980381506,-1.163552127,-1.298275801,-0.136798282,-0.169609289,-0.161277995,-0.156857234
Nemaha,31127,40.38765627,Nebraska,-95.84984201,93,-0.28997715,-0.198443634,-0.139346448,-1.073183156,-1.428720904,0.892947633,-1.167123463,-0.458675281,-0.75247798,1.354756231,-0.164818009,-1.195771038,-0.135099224,-0.16762427,-0.158641753,-0.153905647
Nuckolls,31129,40.17639614,Nebraska,-98.04719588,,-0.29843171,-0.151992754,-0.144834107,-1.335678423,-0.565358474,0.343935093,-1.241074854,-1.285230025,-0.567852833,-0.037557902,-1.237660692,-1.249793818,-0.136170551,-0.1691687,-0.160453906,-0.156200923
