fips,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
48183,1892.0,123283.0,273.3720311,450.9715186,0.8188,0.8946,0.8752,0.4368,0.8214,0.5985,0.7291,0.9233,0.8561,12711.0,22480.0,27622.0,17008.0
48185,465.0,27140.0,787.470097,34.46480076,0.8157,0.8956,0.2241,0.8927,0.9004,0.4734,0.9567,0.9191,0.8672,3717.0,6685.0,5765.0,3019.0
48187,1653.0,147313.0,711.2744503,207.1113336,0.8717,0.8402,0.5804,0.6272,0.7994,0.1175,0.2728,0.4263,0.4374,11792.0,31836.0,31410.0,29451.0
48189,401.0,35007.0,1004.681955,34.8438626,0.9532,0.9382,0.6154,0.3295,0.9618,0.3626,0.8701,0.822,0.8975,4888.0,7253.0,5165.0,3578.0
48191,0.0,3162.0,883.4915779,3.578981486,0.8319,0.9411,0.1025,0.2302,0.304,0.9252,0.5705,0.298,0.9436,424.0,623.0,702.0,331.0
48193,168.0,8232.0,835.9140497,9.847902428,0.468,0.8045,0.0815,0.3779,0.3228,0.3298,0.7297,0.1866,0.4655,946.0,2121.0,1527.0,1329.0
48195,68.0,5552.0,919.8095,6.036032461,0.8631,0.9895,0.3117,0.4667,0.8749,0.0239,0.2954,0.2356,0.5798,1087.0,899.0,876.0,511.0
48197,73.0,3952.0,695.1138658,5.685399464,0.7364,0.9449,0.1146,0.554,0.0528,0.7835,0.1605,0.1375,0.6387,584.0,904.0,899.0,378.0
48199,894.0,55624.0,890.5859172,62.45775834,0.4362,0.5342,0.5196,0.8972,0.2668,0.0704,0.1089,0.1974,0.2178,4607.0,14616.0,12611.0,6446.0
48201,44526.0,4434257.0,1704.857157,2600.955149,0.9653,0.9822,0.9901,0.093,0.9459,0.5801,0.134,0.6129,0.702,550911.0,693463.0,787414.0,932169.0
48203,1050.0,66431.0,899.9346023,73.81758612,0.7644,0.8048,0.3005,0.8348,0.8485,0.3473,0.5358,0.6823,0.7453,6470.0,14899.0,14138.0,8374.0
48205,0.0,5966.0,1461.950336,4.080849981,0.7826,0.9185,0.5584,0.5498,0.937,0.021,0.9901,0.7781,0.4371,745.0,1604.0,1162.0,762.0
48207,111.0,5812.0,903.1326589,6.435377951,0.731,0.9815,0.0443,0.6533,0.7182,0.7587,0.9755,0.8262,0.9519,1191.0,1405.0,936.0,476.0
48209,1677.0,185686.0,677.986912,273.8784433,0.8462,0.8752,0.9312,0.4167,0.8695,0.0872,0.7504,0.7768,0.5072,12697.0,29833.0,37705.0,47623.0
48211,52.0,4151.0,906.2856493,4.58023362,0.794,0.9322,0.7039,0.6944,0.9303,0.2496,0.2038,0.6348,0.602,435.0,765.0,713.0,515.0
48213,1671.0,79213.0,873.7639469,90.65720814,0.5813,0.7854,0.3037,0.9004,0.703,0.234,0.3859,0.4963,0.7052,9441.0,19697.0,18177.0,9926.0
48215,6490.0,828334.0,1570.898627,527.2994613,0.9975,0.9965,0.7049,0.631,0.994,0.6297,0.2165,0.8351,0.9736,164284.0,112550.0,112774.0,89652.0
48217,623.0,34901.0,958.8669644,36.3981671,0.681,0.8851,0.4594,0.7424,0.9239,0.263,0.652,0.7698,0.8933,4027.0,8512.0,7637.0,4239.0
48219,321.0,23377.0,908.3914083,25.73450144,0.8927,0.9086,0.6788,0.6979,0.9096,0.2939,0.681,0.865,0.8392,3424.0,3848.0,4843.0,2277.0
48221,875.0,54217.0,420.6526796,128.8878037,0.4766,0.7826,0.7307,0.8138,0.7536,0.0872,0.2732,0.5657,0.3298,4445.0,12630.0,13886.0,11109.0
48223,580.0,35844.0,767.1916706,46.72104948,0.6488,0.8723,0.623,0.5699,0.8746,0.2939,0.2865,0.5581,0.7921,3695.0,8734.0,7151.0,4917.0
48225,409.0,22802.0,1231.004469,18.52308467,0.7905,0.7673,0.1665,0.8637,0.589,0.6934,0.9647,0.8711,0.8596,3127.0,6023.0,4960.0,2535.0
48227,597.0,36423.0,900.7910776,40.43445911,0.8797,0.9376,0.8386,0.3037,0.8284,0.6934,0.9713,0.9602,0.8373,4942.0,8317.0,8315.0,3117.0
48229,0.0,3481.0,4570.523168,0.761619594,0.9847,1.0,0.0,0.9675,0.9507,0.1754,0.9685,0.7803,0.9497,1306.0,898.0,418.0,314.0
48231,1501.0,89068.0,840.3186662,105.9931233,0.6616,0.8243,0.7517,0.7647,0.8446,0.5801,0.673,0.9567,0.8873,9604.0,21111.0,19005.0,12356.0
48233,343.0,21782.0,887.419982,24.54531162,0.6848,0.7892,0.3961,0.4935,0.8682,0.5985,0.0605,0.4365,0.6434,1963.0,4814.0,5241.0,1959.0
48235,0.0,1631.0,1051.54339,1.551053448,0.6514,0.3629,0.0,0.6272,0.8195,0.1076,0.0178,0.1019,0.1219,71.0,391.0,421.0,156.0
48237,149.0,8866.0,910.6650313,9.735742227,0.5944,0.8411,0.2041,0.717,0.8863,0.2038,0.9631,0.7412,0.6558,1089.0,2427.0,1733.0,817.0
48239,229.0,14678.0,829.4423269,17.69622736,0.8087,0.8771,0.4521,0.6845,0.9347,0.3986,0.4231,0.6982,0.6492,1732.0,3070.0,3428.0,1632.0
48241,631.0,35640.0,938.6546475,37.96923618,0.6466,0.6507,0.2872,0.887,0.7131,0.3986,0.6218,0.7061,0.7975,3608.0,10744.0,6580.0,3106.0
48243,0.0,2221.0,2264.554716,0.980766764,0.7902,0.9777,0.155,0.723,0.9468,0.0,0.6711,0.4807,0.5151,359.0,342.0,479.0,518.0
48245,3795.0,252993.0,876.309229,288.7028821,0.9207,0.901,0.8918,0.1184,0.7316,0.8195,0.8593,0.9128,0.8555,26703.0,53941.0,55174.0,33216.0
48247,63.0,5218.0,1136.172598,4.592612082,0.9955,0.9538,0.3563,0.5164,0.9535,0.8771,0.042,0.6135,0.9943,774.0,1142.0,713.0,408.0
48249,619.0,41486.0,865.1689052,47.95133037,0.985,0.8994,0.3865,0.6482,0.9487,0.7972,0.1745,0.7303,0.9118,6462.0,9403.0,6704.0,3131.0
48251,2229.0,157544.0,724.7992042,217.3622696,0.6492,0.8475,0.5161,0.8074,0.8344,0.0974,0.4865,0.6122,0.5645,15612.0,39142.0,33919.0,20431.0
